Fecha,Muertes,Muertes - Hombres,Muertes - Mujeres
2022,371,203,168
2021,386,207,179
2020,419,255,164
2019,301,160,141
2018,334,178,156
2017,323,169,154
2016,310,174,136
2015,282,151,131
2014,276,170,106
2013,239,132,107
2012,303,168,135
2011,275,156,119
2010,239,138,101
2009,272,159,113
2008,237,137,100
2007,230,140,90
2006,260,144,116
2005,276,157,119
2004,281,152,129
2003,221,136,85
2002,218,128,90
2001,215,141,74
2000,227,130,97
1999,207,123,84
1998,235,153,82
1997,197,115,82
1996,197,122,75
1995,219,134,85
1994,184,105,79
1993,211,130,81
1992,219,136,83
1991,217,136,81
1990,191,117,74
1989,209,125,84
1988,206,122,84
1987,176,114,62
1986,179,99,80
1985,165,102,63
1984,164,99,65
1983,157,87,70
1982,127,69,58
1981,156,86,70
1980,153,90,63
1979,110,61,49
1978,140,89,51
1977,122,70,52
1976,143,,
1975,88,,
1974,116,,
1973,132,,
1972,110,,
1971,91,,
1970,102,,
1969,113,,
1968,96,,
1967,93,,
1966,88,,
1965,75,,
1964,77,,
1963,75,,
1962,72,,
1961,61,,
1960,73,,
1959,57,,
1958,55,,
1957,47,,
1956,61,,
1955,55,,
1954,51,,
1953,53,,
